"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Population, female","SP.POP.TOTL.FE.IN","27637","28254","28655","28907","29094","29268","29458","29631","29804","29988","30178","30401","30634","30889","31065","31150","31111","30989","30834","30753","30805","31047","31457","31912","32227","32303","32055","31571","31104","30993","31491","32693","34482","36633","38785","40708","42294","43615","44757","45856","47012","48252","49506","50707","51712","52456","52897","53084","53107","53113","53202","53400","53692","54045","54406","54743","55049","55336","55608",
"Afghanistan","AFG","Population, female","SP.POP.TOTL.FE.IN","4347290","4438960","4535071","4635706","4740899","4850739","4963701","5079586","5201161","5332269","5474724","5627966","5787959","5948547","6101600","6239950","6366283","6478954","6561859","6594385","6564563","6469100","6320875","6144842","5975377","5840884","5740857","5677737","5685306","5804860","6060833","6476053","7030531","7653145","8245365","8738028","9100775","9357233","9558085","9780603","10079620","10472964","10938324","11442625","11935894","12383193","12772254","13118332","13446880","13795733","14191385","14642762","15138273","15659301","16178164","16674959","17143903","17591598","18025433",
"Angola","AGO","Population, female","SP.POP.TOTL.FE.IN","2803837","2842685","2881763","2917651","2945638","2963303","2968177","2963990","2962021","2977532","3021439","3097731","3203338","3329660","3464045","3597351","3726858","3855581","3985688","4121234","4265117","4417434","4576838","4742876","4914823","5092113","5274835","5463113","5656373","5853903","6055286","6260608","6470304","6684863","6904980","7131381","7364653","7605491","7854898","8114061","8384136","8665286","8958324","9265738","9590609","9934991","10299948","10684591","11086563","11502410","11929434","12367137","12815796","13274476","13742235","14218528","14702852","15195520","15697806",
"Albania","ALB","Population, female","SP.POP.TOTL.FE.IN","780595","805305","830317","855238","880256","904823","928927","953600","981013","1009808","1035954","1061521","1088570","1114865","1141014","1167738","1193877","1220603","1246195","1271298","1297791","1324521","1353597","1383430","1413336","1442682","1469816","1497724","1525329","1568794","1603298","1604803","1610619","1617772","1621629","1618647","1607089","1588481","1566199","1544994","1528046","1511707","1509000","1507666","1505935","1501423","1493529","1482744","1470945","1460006","1451422","1445814","1441287","1436444","1431651","1426369","1423809","1422948","1420390",
"Andorra","AND","Population, female","SP.POP.TOTL.FE.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Population, female","SP.POP.TOTL.FE.IN","45765492","47017259","48311943","49652373","51042313","52484007","53983676","55540761","57142959","58773161","60421778","62081344","63763392","65500291","67336189","69302215","71408656","73644501","75992819","78426913","80925124","83482901","86100442","88766229","91467492","94194277","96938151","99696754","102473746","105276669","109086869","111996094","114114588","117132174","120138890","123783210","126719261","129653700","132561631","135470781","138387313","141306934","144240484","147227822","150320700","153554489","156941268","160467310","164113181","167839384","171617652","175449816","179335909","183243240","187132030","190977584","194754150","198471099","202209698",
"United Arab Emirates","ARE","Population, female","SP.POP.TOTL.FE.IN","46171","48677","51793","55274","58765","62064","65105","68221","72143","77838","86061","97026","110651","126990","146016","167669","191944","218730","247639","278189","309923","342823","376740","410991","444678","477206","508187","537881","567104","597087","628697","662524","698429","735717","773346","810742","848685","888226","929546","972810","1018791","1064860","1112433","1170919","1252678","1364737","1511691","1686606","1871307","2041510","2180422","2281322","2349844","2396706","2438807","2488760","2549835","2618125","2690624",
"Argentina","ARG","Population, female","SP.POP.TOTL.FE.IN","10080493","10258568","10437703","10617614","10797822","10978146","11158549","11339759","11523313","11711206","11904896","12104835","12310798","12522652","12739978","12962380","13189953","13422537","13659100","13898269","14138996","14380372","14622364","14865786","15111997","15361679","15615160","15871239","16127266","16379683","16625913","16864968","17097430","17324200","17546926","17766851","17984153","18198624","18410830","18621381","18830794","19039643","19248107","19455897","19662458","19867567","20070877","20273016","20475831","20681765","20837644","21078468","21318160","21556355","21792640","22026599","22258260","22487670","22714454",
"Armenia","ARM","Population, female","SP.POP.TOTL.FE.IN","971119","1004446","1038032","1071564","1104757","1137406","1169237","1200281","1230900","1261651","1292910","1324773","1357023","1389273","1420979","1451737","1481470","1510254","1538034","1564794","1590547","1614582","1636818","1658629","1681885","1707573","1737053","1768936","1798149","1817823","1823353","1812581","1787885","1754810","1721343","1693332","1672645","1657795","1647239","1638217","1628672","1618695","1609130","1599620","1589765","1579393","1568067","1556075","1544752","1535963","1530964","1530256","1533239","1538741","1545014","1550753","1555569","1559713","1563193",
"American Samoa","ASM","Population, female","SP.POP.TOTL.FE.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
