Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,27637.0,28254.0,28655.0,28907.0,29094.0,29268.0,29458.0,29631.0,29804.0,29988.0,30178.0,30401.0,30634.0,30889.0,31065.0,31150.0,31111.0,30989.0,30834.0,30753.0,30805.0,31047.0,31457.0,31912.0,32227.0,32303.0,32055.0,31571.0,31104.0,30993.0,31491.0,32693.0,34482.0,36633.0,38785.0,40708.0,42294.0,43615.0,44757.0,45856.0,47012.0,48252.0,49506.0,50707.0,51712.0,52456.0,52897.0,53084.0,53107.0,53113.0,53202.0,53400.0,53692.0,54045.0,54406.0,54743.0,55049.0,55336.0,55608.0
Afghanistan,AFG,4347290.0,4438960.0,4535071.0,4635706.0,4740899.0,4850739.0,4963701.0,5079586.0,5201161.0,5332269.0,5474724.0,5627966.0,5787959.0,5948547.0,6101600.0,6239950.0,6366283.0,6478954.0,6561859.0,6594385.0,6564563.0,6469100.0,6320875.0,6144842.0,5975377.0,5840884.0,5740857.0,5677737.0,5685306.0,5804860.0,6060833.0,6476053.0,7030531.0,7653145.0,8245365.0,8738028.0,9100775.0,9357233.0,9558085.0,9780603.0,10079620.0,10472964.0,10938324.0,11442625.0,11935894.0,12383193.0,12772254.0,13118332.0,13446880.0,13795733.0,14191385.0,14642762.0,15138273.0,15659301.0,16178164.0,16674959.0,17143903.0,17591598.0,18025433.0
Angola,AGO,2803837.0,2842685.0,2881763.0,2917651.0,2945638.0,2963303.0,2968177.0,2963990.0,2962021.0,2977532.0,3021439.0,3097731.0,3203338.0,3329660.0,3464045.0,3597351.0,3726858.0,3855581.0,3985688.0,4121234.0,4265117.0,4417434.0,4576838.0,4742876.0,4914823.0,5092113.0,5274835.0,5463113.0,5656373.0,5853903.0,6055286.0,6260608.0,6470304.0,6684863.0,6904980.0,7131381.0,7364653.0,7605491.0,7854898.0,8114061.0,8384136.0,8665286.0,8958324.0,9265738.0,9590609.0,9934991.0,10299948.0,10684591.0,11086563.0,11502410.0,11929434.0,12367137.0,12815796.0,13274476.0,13742235.0,14218528.0,14702852.0,15195520.0,15697806.0
Albania,ALB,780595.0,805305.0,830317.0,855238.0,880256.0,904823.0,928927.0,953600.0,981013.0,1009808.0,1035954.0,1061521.0,1088570.0,1114865.0,1141014.0,1167738.0,1193877.0,1220603.0,1246195.0,1271298.0,1297791.0,1324521.0,1353597.0,1383430.0,1413336.0,1442682.0,1469816.0,1497724.0,1525329.0,1568794.0,1603298.0,1604803.0,1610619.0,1617772.0,1621629.0,1618647.0,1607089.0,1588481.0,1566199.0,1544994.0,1528046.0,1511707.0,1509000.0,1507666.0,1505935.0,1501423.0,1493529.0,1482744.0,1470945.0,1460006.0,1451422.0,1445814.0,1441287.0,1436444.0,1431651.0,1426369.0,1423809.0,1422948.0,1420390.0
United Arab Emirates,ARE,46171.0,48677.0,51793.0,55274.0,58765.0,62064.0,65105.0,68221.0,72143.0,77838.0,86061.0,97026.0,110651.0,126990.0,146016.0,167669.0,191944.0,218730.0,247639.0,278189.0,309923.0,342823.0,376740.0,410991.0,444678.0,477206.0,508187.0,537881.0,567104.0,597087.0,628697.0,662524.0,698429.0,735717.0,773346.0,810742.0,848685.0,888226.0,929546.0,972810.0,1018791.0,1064860.0,1112433.0,1170919.0,1252678.0,1364737.0,1511691.0,1686606.0,1871307.0,2041510.0,2180422.0,2281322.0,2349844.0,2396706.0,2438807.0,2488760.0,2549835.0,2618125.0,2690624.0
Argentina,ARG,10080493.0,10258568.0,10437703.0,10617614.0,10797822.0,10978146.0,11158549.0,11339759.0,11523313.0,11711206.0,11904896.0,12104835.0,12310798.0,12522652.0,12739978.0,12962380.0,13189953.0,13422537.0,13659100.0,13898269.0,14138996.0,14380372.0,14622364.0,14865786.0,15111997.0,15361679.0,15615160.0,15871239.0,16127266.0,16379683.0,16625913.0,16864968.0,17097430.0,17324200.0,17546926.0,17766851.0,17984153.0,18198624.0,18410830.0,18621381.0,18830794.0,19039643.0,19248107.0,19455897.0,19662458.0,19867567.0,20070877.0,20273016.0,20475831.0,20681765.0,20837644.0,21078468.0,21318160.0,21556355.0,21792640.0,22026599.0,22258260.0,22487670.0,22714454.0
Armenia,ARM,971119.0,1004446.0,1038032.0,1071564.0,1104757.0,1137406.0,1169237.0,1200281.0,1230900.0,1261651.0,1292910.0,1324773.0,1357023.0,1389273.0,1420979.0,1451737.0,1481470.0,1510254.0,1538034.0,1564794.0,1590547.0,1614582.0,1636818.0,1658629.0,1681885.0,1707573.0,1737053.0,1768936.0,1798149.0,1817823.0,1823353.0,1812581.0,1787885.0,1754810.0,1721343.0,1693332.0,1672645.0,1657795.0,1647239.0,1638217.0,1628672.0,1618695.0,1609130.0,1599620.0,1589765.0,1579393.0,1568067.0,1556075.0,1544752.0,1535963.0,1530964.0,1530256.0,1533239.0,1538741.0,1545014.0,1550753.0,1555569.0,1559713.0,1563193.0
Antigua and Barbuda,ATG,28634.0,29167.0,29575.0,29937.0,30329.0,30796.0,31382.0,32035.0,32680.0,33198.0,33516.0,33602.0,33487.0,33236.0,32929.0,32638.0,32382.0,32148.0,31950.0,31794.0,31678.0,31620.0,31627.0,31676.0,31732.0,31780.0,31808.0,31836.0,31898.0,32037.0,32293.0,32675.0,33159.0,33755.0,34470.0,35294.0,36251.0,37309.0,38385.0,39372.0,40193.0,40808.0,41254.0,41596.0,41960.0,42416.0,43007.0,43681.0,44417.0,45151.0,45837.0,46478.0,47071.0,47630.0,48165.0,48677.0,49162.0,49621.0,50058.0
Australia,AUS,5085024.0,5190531.0,5322368.0,5429074.0,5540095.0,5652786.0,5785879.0,5861460.0,5967639.0,6095833.0,6219473.0,6436027.0,6558435.0,6663001.0,6838165.0,6928135.0,7004321.0,7090948.0,7181166.0,7265278.0,7358464.0,7477913.0,7603438.0,7697746.0,7784053.0,7890761.0,8021680.0,8145868.0,8282278.0,8426470.0,8555626.0,8669846.0,8780951.0,8872259.0,8969971.0,9079687.0,9197338.0,9295737.0,9386681.0,9488521.0,9597994.0,9726262.0,9845536.0,9968388.0,10084382.0,10216231.0,10363514.0,10422277.0,10627076.0,10844514.0,11014499.0,11173044.0,11377863.0,11585313.0,11768704.0,11946177.0,12138140.0,12345895.0,12541784.0
Austria,AUT,3764742.0,3783271.0,3804090.0,3825938.0,3848701.0,3870859.0,3895084.0,3921206.0,3938481.0,3948984.0,3959731.0,3974418.0,3994602.0,4013905.0,4017988.0,4004755.0,3995265.0,3994504.0,3988996.0,3979807.0,3977201.0,3984469.0,3984156.0,3974323.0,3970488.0,3968621.0,3967331.0,3965915.0,3967288.0,3980371.0,4005232.0,4039020.0,4076674.0,4103160.0,4112000.0,4111974.0,4111896.0,4111546.0,4111725.0,4116125.0,4123171.0,4136937.0,4156033.0,4175478.0,4200660.0,4228324.0,4247907.0,4260003.0,4271284.0,4280016.0,4287444.0,4298591.0,4314492.0,4336042.0,4366148.0,4411653.0,4456171.0,4484019.0,4506240.0
