"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Population, male","SP.POP.TOTL.MA.IN","26574","27184","27570","27788","27938","28092","28257","28424","28582","28738","28885","29039","29206","29354","29463","29507","29475","29377","29269","29227","29291","29520","29888","30289","30609","30723","30589","30262","29975","30039","30658","31929","33753","35871","37915","39616","40906","41836","42520","43149","43841","44646","45486","46310","47025","47575","47937","48138","48251","48342","48467","48646","48868","49114","49368","49598","49823","50030","50237",
"Afghanistan","AFG","Population, male","SP.POP.TOTL.MA.IN","4649683","4730450","4816370","4907499","5003882","5105581","5211135","5320340","5435902","5561507","5698918","5847479","6003256","6160416","6311350","6449210","6576810","6692352","6779339","6816671","6791948","6702573","6561653","6392888","6228915","6097324","5995322","5926797","5932699","6064017","6351475","6822964","7455015","8163458","8830362","9372629","9752662","9999893","10179680","10390241","10700333","11134024","11662446","12238246","12790790","13271084","13660795","13982204","14275396","14599080","14994122","15474651","16023103","16610288","17192630","17738644","18239225","18704802","19146953",
"Angola","AGO","Population, male","SP.POP.TOTL.MA.IN","2651096","2688787","2726776","2761807","2789406","2807267","2813037","2810253","2809631","2825722","2868926","2943046","3045214","3167302","3297335","3426649","3552651","3678154","3805019","3936833","4076172","4223012","4376112","4535220","4699931","4869884","5045276","5226137","5411677","5600874","5793100","5988293","6187062","6390186","6598767","6813825","7036066","7266079","7504703","7752808","8011337","8280467","8561093","8855741","9167536","9498611","9849953","10220772","10609071","11011871","11426812","11853524","12292135","12741304","13199544","13665853","14139632","14621228","15111956",
"Albania","ALB","Population, male","SP.POP.TOTL.MA.IN","828205","854495","881002","907383","933879","959968","985646","1011998","1041259","1071887","1099525","1126332","1154556","1181887","1209110","1237093","1264649","1292943","1320071","1346534","1374206","1401535","1430681","1460530","1491093","1522080","1552819","1585881","1617007","1659149","1683244","1661987","1636420","1609515","1585907","1569137","1560944","1559800","1562331","1563784","1560981","1548466","1542010","1531950","1521004","1510064","1499018","1487273","1476369","1467513","1461599","1459381","1459114","1458648","1457453","1454334","1452292","1450509","1445986",
"Andorra","AND","Population, male","SP.POP.TOTL.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Population, male","SP.POP.TOTL.MA.IN","46432261","47707251","49022499","50381806","51790447","53252424","54774934","56358603","57993219","59664034","61363872","63083401","64835342","66661007","68616063","70738434","73044622","75517390","78118356","80791639","83495661","86216093","88961350","91739767","94567813","97456054","100399991","103388217","106415936","109477301","113566504","116735591","118841764","122111087","125310519","129324079","132281692","135168488","138014172","140923056","143956841","147125229","150424701","153886027","157542143","161411304","165511486","169823406","174282780","178789836","183272390","187708887","192107638","196462479","200775718","205050694","209270283","213427866","217580890",
"United Arab Emirates","ARE","Population, male","SP.POP.TOTL.MA.IN","46247","52119","60325","69856","79274","87793","94871","101550","110484","125268","148453","180445","220323","267634","321435","380632","445978","516614","587869","653560","709586","753787","788066","817468","849293","888958","938193","995655","1059962","1128594","1199735","1274629","1354462","1437422","1521039","1604348","1690441","1783136","1883668","1993224","2115271","2237859","2366344","2541013","2815892","3223488","3788483","4482232","5218180","5875862","6369566","6665455","6791752","6801204","6775368","6774140","6811145","6869078","6940335",
"Argentina","ARG","Population, male","SP.POP.TOTL.MA.IN","10401286","10558698","10715349","10871298","11026603","11181504","11335486","11489110","11644954","11806405","11975665","12154726","12342377","12533826","12722324","12903396","13074728","13238861","13401947","13572767","13757532","13958143","14172184","14396261","14625096","14854600","15083804","15313176","15541683","15768451","15992738","16214032","16431896","16645911","16855746","17061319","17262221","17458805","17652629","17845837","18039993","18236009","18433642","18631971","18829514","19025364","19219001","19411279","19604329","19801023","19950809","20183022","20415111","20646580","20876860","21105367","21332108","21557141","21780048",
"Armenia","ARM","Population, male","SP.POP.TOTL.MA.IN","903002","937046","971494","1006014","1040244","1073913","1106797","1138846","1170243","1201277","1232158","1262935","1293463","1323513","1352769","1381022","1408109","1434129","1459383","1484315","1509207","1533514","1556871","1579966","1603714","1628367","1655211","1683011","1706510","1718651","1714818","1692677","1654932","1608298","1562324","1524016","1495576","1475294","1461448","1450805","1440919","1431992","1424848","1418312","1410955","1401876","1390240","1376543","1362866","1352129","1346355","1346282","1350990","1358843","1367389","1374800","1380577","1385096","1388583",
"American Samoa","ASM","Population, male","SP.POP.TOTL.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
