Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,26574.0,27184.0,27570.0,27788.0,27938.0,28092.0,28257.0,28424.0,28582.0,28738.0,28885.0,29039.0,29206.0,29354.0,29463.0,29507.0,29475.0,29377.0,29269.0,29227.0,29291.0,29520.0,29888.0,30289.0,30609.0,30723.0,30589.0,30262.0,29975.0,30039.0,30658.0,31929.0,33753.0,35871.0,37915.0,39616.0,40906.0,41836.0,42520.0,43149.0,43841.0,44646.0,45486.0,46310.0,47025.0,47575.0,47937.0,48138.0,48251.0,48342.0,48467.0,48646.0,48868.0,49114.0,49368.0,49598.0,49823.0,50030.0,50237.0
Afghanistan,AFG,4649683.0,4730450.0,4816370.0,4907499.0,5003882.0,5105581.0,5211135.0,5320340.0,5435902.0,5561507.0,5698918.0,5847479.0,6003256.0,6160416.0,6311350.0,6449210.0,6576810.0,6692352.0,6779339.0,6816671.0,6791948.0,6702573.0,6561653.0,6392888.0,6228915.0,6097324.0,5995322.0,5926797.0,5932699.0,6064017.0,6351475.0,6822964.0,7455015.0,8163458.0,8830362.0,9372629.0,9752662.0,9999893.0,10179680.0,10390241.0,10700333.0,11134024.0,11662446.0,12238246.0,12790790.0,13271084.0,13660795.0,13982204.0,14275396.0,14599080.0,14994122.0,15474651.0,16023103.0,16610288.0,17192630.0,17738644.0,18239225.0,18704802.0,19146953.0
Angola,AGO,2651096.0,2688787.0,2726776.0,2761807.0,2789406.0,2807267.0,2813037.0,2810253.0,2809631.0,2825722.0,2868926.0,2943046.0,3045214.0,3167302.0,3297335.0,3426649.0,3552651.0,3678154.0,3805019.0,3936833.0,4076172.0,4223012.0,4376112.0,4535220.0,4699931.0,4869884.0,5045276.0,5226137.0,5411677.0,5600874.0,5793100.0,5988293.0,6187062.0,6390186.0,6598767.0,6813825.0,7036066.0,7266079.0,7504703.0,7752808.0,8011337.0,8280467.0,8561093.0,8855741.0,9167536.0,9498611.0,9849953.0,10220772.0,10609071.0,11011871.0,11426812.0,11853524.0,12292135.0,12741304.0,13199544.0,13665853.0,14139632.0,14621228.0,15111956.0
Albania,ALB,828205.0,854495.0,881002.0,907383.0,933879.0,959968.0,985646.0,1011998.0,1041259.0,1071887.0,1099525.0,1126332.0,1154556.0,1181887.0,1209110.0,1237093.0,1264649.0,1292943.0,1320071.0,1346534.0,1374206.0,1401535.0,1430681.0,1460530.0,1491093.0,1522080.0,1552819.0,1585881.0,1617007.0,1659149.0,1683244.0,1661987.0,1636420.0,1609515.0,1585907.0,1569137.0,1560944.0,1559800.0,1562331.0,1563784.0,1560981.0,1548466.0,1542010.0,1531950.0,1521004.0,1510064.0,1499018.0,1487273.0,1476369.0,1467513.0,1461599.0,1459381.0,1459114.0,1458648.0,1457453.0,1454334.0,1452292.0,1450509.0,1445986.0
United Arab Emirates,ARE,46247.0,52119.0,60325.0,69856.0,79274.0,87793.0,94871.0,101550.0,110484.0,125268.0,148453.0,180445.0,220323.0,267634.0,321435.0,380632.0,445978.0,516614.0,587869.0,653560.0,709586.0,753787.0,788066.0,817468.0,849293.0,888958.0,938193.0,995655.0,1059962.0,1128594.0,1199735.0,1274629.0,1354462.0,1437422.0,1521039.0,1604348.0,1690441.0,1783136.0,1883668.0,1993224.0,2115271.0,2237859.0,2366344.0,2541013.0,2815892.0,3223488.0,3788483.0,4482232.0,5218180.0,5875862.0,6369566.0,6665455.0,6791752.0,6801204.0,6775368.0,6774140.0,6811145.0,6869078.0,6940335.0
Argentina,ARG,10401286.0,10558698.0,10715349.0,10871298.0,11026603.0,11181504.0,11335486.0,11489110.0,11644954.0,11806405.0,11975665.0,12154726.0,12342377.0,12533826.0,12722324.0,12903396.0,13074728.0,13238861.0,13401947.0,13572767.0,13757532.0,13958143.0,14172184.0,14396261.0,14625096.0,14854600.0,15083804.0,15313176.0,15541683.0,15768451.0,15992738.0,16214032.0,16431896.0,16645911.0,16855746.0,17061319.0,17262221.0,17458805.0,17652629.0,17845837.0,18039993.0,18236009.0,18433642.0,18631971.0,18829514.0,19025364.0,19219001.0,19411279.0,19604329.0,19801023.0,19950809.0,20183022.0,20415111.0,20646580.0,20876860.0,21105367.0,21332108.0,21557141.0,21780048.0
Armenia,ARM,903002.0,937046.0,971494.0,1006014.0,1040244.0,1073913.0,1106797.0,1138846.0,1170243.0,1201277.0,1232158.0,1262935.0,1293463.0,1323513.0,1352769.0,1381022.0,1408109.0,1434129.0,1459383.0,1484315.0,1509207.0,1533514.0,1556871.0,1579966.0,1603714.0,1628367.0,1655211.0,1683011.0,1706510.0,1718651.0,1714818.0,1692677.0,1654932.0,1608298.0,1562324.0,1524016.0,1495576.0,1475294.0,1461448.0,1450805.0,1440919.0,1431992.0,1424848.0,1418312.0,1410955.0,1401876.0,1390240.0,1376543.0,1362866.0,1352129.0,1346355.0,1346282.0,1350990.0,1358843.0,1367389.0,1374800.0,1380577.0,1385096.0,1388583.0
Antigua and Barbuda,ATG,25497.0,25834.0,26266.0,26765.0,27312.0,27902.0,28533.0,29206.0,29841.0,30352.0,30661.0,30755.0,30646.0,30414.0,30191.0,30037.0,29985.0,30011.0,30086.0,30158.0,30187.0,30180.0,30152.0,30111.0,30054.0,30006.0,29946.0,29881.0,29873.0,29971.0,30235.0,30692.0,31312.0,32022.0,32734.0,33376.0,33922.0,34395.0,34839.0,35302.0,35823.0,36404.0,37041.0,37704.0,38376.0,39049.0,39697.0,40345.0,40980.0,41595.0,42191.0,42775.0,43338.0,43886.0,44397.0,44889.0,45365.0,45805.0,46228.0
Australia,AUS,5191453.0,5292469.0,5419632.0,5520926.0,5626905.0,5735214.0,5865121.0,5937540.0,6041361.0,6167167.0,6287527.0,6500973.0,6618565.0,6716999.0,6884835.0,6964865.0,7028679.0,7101052.0,7176834.0,7248722.0,7333536.0,7449087.0,7574562.0,7671254.0,7759947.0,7867239.0,7996720.0,8118032.0,8249922.0,8387930.0,8509474.0,8614154.0,8714049.0,8794741.0,8885029.0,8992313.0,9113662.0,9221263.0,9324319.0,9437479.0,9555006.0,9686738.0,9805864.0,9927012.0,10043018.0,10178569.0,10334386.0,10405323.0,10622124.0,10847186.0,11017251.0,11166980.0,11355602.0,11542816.0,11706982.0,11869818.0,12052767.0,12255965.0,12450585.0
Austria,AUT,3282797.0,3303028.0,3325774.0,3349873.0,3375100.0,3400030.0,3426982.0,3455792.0,3476922.0,3492071.0,3507355.0,3526064.0,3549599.0,3572210.0,3581050.0,3574148.0,3570260.0,3573926.0,3573309.0,3569618.0,3572232.0,3584241.0,3589984.0,3587587.0,3590946.0,3596364.0,3602463.0,3608671.0,3618029.0,3639196.0,3672618.0,3715871.0,3764035.0,3802473.0,3824118.0,3836304.0,3847121.0,3856495.0,3865064.0,3876199.0,3888395.0,3905356.0,3925924.0,3945945.0,3971306.0,3999505.0,4020734.0,4035484.0,4050212.0,4063307.0,4075960.0,4093052.0,4115499.0,4143781.0,4180208.0,4231046.0,4280497.0,4313547.0,4340797.0
