Country,ISO,Sec_cntry,Name,Purpose,Admin_unit,Near_city,River,Main_basin,Sub_basin,Status,PVOUT,PV_surface,PV_spcapacity,Dam_hgt,Res_capacity,Res_area,HPP_elec_cap,Transm_exist,Transm_length,Transm_planned,Proj_type,Lifecycle,Storage_typ,Linked_prj,Proj_cost,Proj_status,Study_status,Proj_yr,Yr_recentstudy,Comission_due,Ann_firm_gen,Ann_tot_gen,Prox_irrig,Size_irrig_area,Owner,Autom_EMS/SCADA, PrivateOwnership_RE,Feed_in_tariff_Solar,Feed_in_tariff _ForeignExchg,Guaranteed_Offtake,Competitive_bidding,Winning_bid _offtake,OtherFiscal _incentives_RE,Prioritized_access_grid_RE,Priority_dispatch,Compensation_IPP_offtake,Compensations_lost_generation,Gov_guarantee_payments,Regulatory_Overview,Download,Long,Lat
Guinea,GIN,,Garafiri,Hydropower,National,,KonkourÃ©,KonkourÃ©,,Operational,1575,,30,81,1600,,80,110,191,,Hydropower,Rehabilitation,Storage,,0,Seeking approvals and funding,,0,0,2000,264,,,,Enelgui,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,RISE Information (http://rise.esmap.org/country/guinea),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-12.66375,10.532917
Mali,MLI,,Sotuba,Hydropower,Koulikoro,Bamako,Niger,Niger River Basin,Niger,Operational since 1929,1633,,51,,,,5,,16.5,,,,,,,,,,,,,,,,Republique du Mali,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,RISE Information (http://rise.esmap.org/country/mali),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-7.9253,12.6381
Cote d'Ivoire,CIV,,Ayme II,Hydropower,Sud Comoe,Aboisso,Bia,West Coast,Comoe,Operational since 1964,1299,10,69,35,69,1,30,90,63,,,,,,,,,,,,,,,,Societe Electricite     Cote D' Ivoire,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,RISE Information (http://rise.esmap.org/country/c%C3%B4te-divoire),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-3.1611,5.4667
Cote d'Ivoire,CIV,,Ayme I,Hydropower,Sud Comoe,Aboisso,Bia,West Coast,Bia,Operational since 1959,1301,1800,109,30,900,180,20,90,69.7,,,,,,,,,,,,,,,,Societe Electricite     Cote D' Ivoire,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,RISE Information (http://rise.esmap.org/country/c%C3%B4te-divoire),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-3.1589,5.5983
Ghana,GHA,,Kpong,Hydropower,Eastern,Accra,Black Volta,West Coast,Volta,Operational since 1981,1380,252,118,20,200,25.2,160,161,88,,Hydropower,Rehabilitation,Run-of-river,,65,Funding approved or under construction,,0,2011,2015,,,,,Volta River Authority,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,RISE Information (http://rise.esmap.org/country/ghana),Full Database (https://energydata.info/dataset/hydropower-dams-2018),0.1255,6.1201
Cote d'Ivoire,CIV,,Singrobo,Hydropower,National,,Bandama,Bandama,,Unknown,1359,,135,23.5,220,,44,225,125,,Hydropower,Green fields,Run-of-river,Hydropower,127,Funding approved or under construction,,0,2013,2018,216,288,,,,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,RISE Information (http://rise.esmap.org/country/c%C3%B4te-divoire),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-4.93723,6.07255
Nigeria,NGA,,Gurara 1,Hydropower,National,,Gurara,Niger,,Operational since 2011,1544,,226,53,880,,30,132,280,,Multipurpose,Green fields,Storage,,30,Funding approved or under construction,,0,0,2015,,115,,,,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,RISE Information (http://rise.esmap.org/country/nigeria),Full Database (https://energydata.info/dataset/hydropower-dams-2018),7.504469,9.596023
Togo,TGO,,Nangbeto,Hydropower,Plateaux,Atakapamï¿½,Mono,West Coast,Mono,Operational since 1987,1457,1800,285,44,1700,180,65,161,226,,Multipurpose,Rehabilitation,Storage,,20,Funding approved or under construction,,0,2011,2015,,172,,,CEB ( Communauté Electrique Benin ),No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,RISE Information (http://rise.esmap.org/country/togo),Full Database (https://energydata.info/dataset/hydropower-dams-2018),1.088889,7.533333
Ghana,GHA,,Akosombo,Hydropower,National,Accra/Tema,Black Volta,West Coast,Volta,Operational since 1965,1404,84822.5,338,113,148000,8482.25,1020,161,751,,Hydropower,Upgrade,Storage,,120,In operation,,1990,2006,0,,,,,Volta River Authority,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,RISE Information (http://rise.esmap.org/country/ghana),Full Database (https://energydata.info/dataset/hydropower-dams-2018),0.1,6.35
Mali,MLI,,Grand Kenie,Hydropower,National,,Niger,Niger,,Unknown,1643,,456,0,0,,120,161,45,,Hydropower,Green fields,,,338,Studies,Pre-feasibility,0,0,0,600,,< 50,> 5,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,RISE Information (http://rise.esmap.org/country/mali),Full Database (https://energydata.info/dataset/hydropower-dams-2018),-7.12,13.19
